measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Connecticut,Male,All Ages,Self-harm,Rate,1990,18.9700187624,26.5316764015,16.4151306877
Deaths,The Bahamas,Male,All Ages,Self-harm,Rate,1990,4.21956657575,5.25900092089,3.18458668381
Deaths,Bulgaria,Male,All Ages,Self-harm,Rate,1990,26.0989663707,31.5421949411,21.8182624678
Deaths,Guatemala,Male,All Ages,Self-harm,Rate,1991,11.591723800599999,14.582494911600001,7.5681083574
Deaths,Bermuda,Male,All Ages,Self-harm,Rate,1990,10.718674606199999,13.0289299462,7.59487564328
Deaths,Sub-Saharan Africa,Male,All Ages,Self-harm,Rate,1990,8.67011867257,10.0247921499,7.348172258190001
Deaths,Zimbabwe,Male,All Ages,Self-harm,Rate,1990,9.97867490579,18.4344009292,4.15395546442
Deaths,Wakayama,Male,All Ages,Self-harm,Rate,1990,33.3385316085,39.795091161900004,27.682996051499998
Deaths,Paraguay,Male,All Ages,Self-harm,Rate,1990,4.14063983923,5.05068579019,3.1099274393800003
Deaths,Belgium,Male,All Ages,Self-harm,Rate,1990,32.364334288399995,42.316883536199995,29.125076578
Deaths,South Korea,Male,All Ages,Self-harm,Rate,1991,19.0750682643,42.0779953437,13.9240094752
Deaths,Region of the Americas,Male,All Ages,Self-harm,Rate,1990,14.684772985799999,18.0675285823,12.3923419213
Deaths,Swaziland,Male,All Ages,Self-harm,Rate,1990,14.630989195400002,20.9735112936,10.0297916879
Deaths,Chiapas,Male,All Ages,Self-harm,Rate,1990,4.9205188595800005,8.541518910679999,3.94081374218
Deaths,Uganda,Male,All Ages,Self-harm,Rate,1991,8.36386660454,11.2625786997,5.57030982729
Deaths,Croatia,Male,All Ages,Self-harm,Rate,1990,38.298926786100004,45.2943238285,29.2322844311
Deaths,Mongolia,Male,All Ages,Self-harm,Rate,1991,25.4807782531,31.6230834972,18.338259060800002
Deaths,Shizuoka,Male,All Ages,Self-harm,Rate,1991,23.275241726799997,33.3857733261,20.866755380100003
Deaths,Chile,Male,All Ages,Self-harm,Rate,1991,30.0344960363,34.529670425,19.547002917300002
Deaths,Myanmar,Male,All Ages,Self-harm,Rate,1990,5.24203638946,6.923576871770001,4.075324003
Deaths,Delaware,Male,All Ages,Self-harm,Rate,1990,21.2019877312,27.5700129308,18.353006651
Deaths,Stockholm,Male,All Ages,Self-harm,Rate,1990,26.267642539,32.8904806782,21.3772607437
Deaths,Tlaxcala,Male,All Ages,Self-harm,Rate,1991,3.8571390249,6.92748776462,2.93482901389
Deaths,North America,Male,All Ages,Self-harm,Rate,1991,22.3863124844,27.5777641665,18.846820027099998
Deaths,Chihuahua,Male,All Ages,Self-harm,Rate,1990,7.51452274692,11.245493016,5.86850179155
Deaths,Barbados,Male,All Ages,Self-harm,Rate,1990,7.396609720500001,8.782282635420001,5.9334856154399995
Deaths,Greenland,Male,All Ages,Self-harm,Rate,1990,221.995031835,258.509959855,175.974476269
Deaths,Central African Republic,Male,All Ages,Self-harm,Rate,1990,12.8450671354,18.8659790703,7.34035841892
Deaths,Aichi,Male,All Ages,Self-harm,Rate,1991,21.5999427585,30.7110845564,19.441830615399997
Deaths,Angola,Male,All Ages,Self-harm,Rate,1990,8.27721191503,11.865745609,5.00448759678
Deaths,South-East Asia Region,Male,All Ages,Self-harm,Rate,1990,16.126195359,19.143450965699998,11.1786886786
Deaths,Veracruz de Ignacio de la Llave,Male,All Ages,Self-harm,Rate,1991,6.69432444756,8.28134491882,5.05911819863
Deaths,Distrito Federal,Male,All Ages,Self-harm,Rate,1990,6.704780283410001,9.317239686679999,5.35773459633
Deaths,Florida,Male,All Ages,Self-harm,Rate,1990,26.688891591399997,30.6873460075,20.5489206261
Deaths,New Jersey,Male,All Ages,Self-harm,Rate,1991,15.690755279700001,26.399072403699996,12.8794885108
Deaths,African Region,Male,All Ages,Self-harm,Rate,1990,8.50905541178,9.86020594529,7.1996332271100005
Deaths,Czech Republic,Male,All Ages,Self-harm,Rate,1990,31.4930400103,37.6103006645,24.3879043634
Deaths,Honduras,Male,All Ages,Self-harm,Rate,1991,4.34794831403,6.295370403490001,2.86900785844
Deaths,New Hampshire,Male,All Ages,Self-harm,Rate,1991,21.3317144837,24.800073876400003,16.9650308971
Deaths,Mexico,Male,All Ages,Self-harm,Rate,1991,6.04847795607,8.52976984596,5.31668244057
Deaths,District of Columbia,Male,All Ages,Self-harm,Rate,1990,28.959002645899997,73.7815262962,19.3165336443
Deaths,Guam,Male,All Ages,Self-harm,Rate,1990,29.0025354586,35.119805614600004,23.6913986567
Deaths,Philippines,Male,All Ages,Self-harm,Rate,1990,17.8324788768,21.2611314267,9.45812994816
Deaths,Central Sub-Saharan Africa,Male,All Ages,Self-harm,Rate,1990,8.638404075730001,11.039310135200001,5.88423183168
Deaths,Australasia,Male,All Ages,Self-harm,Rate,1991,21.881151326,24.8513193058,17.682822917699998
Deaths,Zacatecas,Male,All Ages,Self-harm,Rate,1991,4.69030923062,7.103360561810001,3.8997380310499996
Deaths,Cuba,Male,All Ages,Self-harm,Rate,1990,24.2501436654,28.45116642,19.3918867977
Deaths,Tajikistan,Male,All Ages,Self-harm,Rate,1991,7.19011791989,8.76099375932,5.70533490154
Deaths,South Asia,Male,All Ages,Self-harm,Rate,1991,16.3949765859,19.7276928307,10.8902830839
Deaths,England,Male,All Ages,Self-harm,Rate,1990,15.4434189724,17.3475370109,11.9813042947
Deaths,Zambia,Male,All Ages,Self-harm,Rate,1991,5.77582953225,10.5184087358,3.6639447509500003
Deaths,Alabama,Male,All Ages,Self-harm,Rate,1991,24.799226846299998,33.1972837123,20.9132902924
Deaths,Aguascalientes,Male,All Ages,Self-harm,Rate,1991,5.2167090377,6.563924996800001,4.10623514918
Deaths,Yucatán,Male,All Ages,Self-harm,Rate,1991,8.421104819049999,10.3169046188,4.3390167787000005
Deaths,East Asia & Pacific - WB,Male,All Ages,Self-harm,Rate,1991,16.4119612267,17.8231535735,12.184589511399999
Deaths,European Union,Male,All Ages,Self-harm,Rate,1990,24.890361945,30.5277667664,21.6811009977
Deaths,Norway,Male,All Ages,Self-harm,Rate,1992,23.6883974337,27.5665536343,19.588600972
Deaths,Sudan,Male,All Ages,Self-harm,Rate,1991,5.40225571358,8.42229159322,3.5017831196800002
Deaths,Ecuador,Male,All Ages,Self-harm,Rate,1992,7.44991060617,9.96916481491,6.27655398727
Deaths,Bhutan,Male,All Ages,Self-harm,Rate,1991,8.14000648489,11.2345924787,5.36820151713
Deaths,Hiroshima,Male,All Ages,Self-harm,Rate,1990,27.1655071437,35.5813841605,24.438429588800002
Deaths,Global,Male,All Ages,Self-harm,Rate,1992,17.276897579899998,18.683641946,14.672106239600001
Deaths,Rhode Island,Male,All Ages,Self-harm,Rate,1990,21.1635048433,26.685853132800002,18.362346679399998
Deaths,Southeast Asia,Male,All Ages,Self-harm,Rate,1991,11.4705510868,12.920194823400001,9.29275206704
Deaths,Sweden,Male,All Ages,Self-harm,Rate,1992,28.282681189099996,31.0701237743,19.8628564196
Deaths,Southern Sub-Saharan Africa,Male,All Ages,Self-harm,Rate,1991,20.845542922499998,24.613630544299998,15.3360511697
Deaths,Mauritania,Male,All Ages,Self-harm,Rate,1992,4.75400183357,8.87023559975,2.6917528485699997
Deaths,Mie,Male,All Ages,Self-harm,Rate,1991,23.711464385499998,35.5895899729,20.8249754294
Deaths,Burkina Faso,Male,All Ages,Self-harm,Rate,1990,8.609912383320001,10.9617772391,6.72560342432
Deaths,Taiwan,Male,All Ages,Self-harm,Rate,1991,19.7134142119,22.9122318839,16.801320967200002
Deaths,Singapore,Male,All Ages,Self-harm,Rate,1991,18.732026192499998,23.7943198115,15.057845254099998
Deaths,Congo,Male,All Ages,Self-harm,Rate,1990,11.2561852256,15.9319639511,6.72425004865
Deaths,Hungary,Male,All Ages,Self-harm,Rate,1990,60.455456185,68.8599610104,43.532326342699996
Deaths,Pennsylvania,Male,All Ages,Self-harm,Rate,1990,23.410466431699998,28.260147541600002,19.6164756088
Deaths,New Mexico,Male,All Ages,Self-harm,Rate,1991,29.8264713891,33.920105080700004,19.7507346974
Deaths,Malawi,Male,All Ages,Self-harm,Rate,1992,6.65145724294,10.3100997591,3.9725114523599996
Deaths,North East England,Male,All Ages,Self-harm,Rate,1992,14.961494668900002,18.219808489400002,12.444501907
Deaths,Nicaragua,Male,All Ages,Self-harm,Rate,1991,8.32831581778,9.9251525939,7.12127246428
Deaths,Northern Mariana Islands,Male,All Ages,Self-harm,Rate,1990,14.7171122558,20.0010783434,9.33302213078
Deaths,Portugal,Male,All Ages,Self-harm,Rate,1992,24.4238008231,30.100056863099997,19.6087381438
Deaths,North West England,Male,All Ages,Self-harm,Rate,1992,16.3359354558,18.8560283375,12.8305541649
Deaths,Commonwealth,Male,All Ages,Self-harm,Rate,1990,15.5603717177,18.1787982735,11.2685493319
Deaths,Armenia,Male,All Ages,Self-harm,Rate,1992,6.69580886265,12.0862927465,5.27689932593
Deaths,Afghanistan,Male,All Ages,Self-harm,Rate,1991,9.67540121209,17.4407616102,7.15501695971
Deaths,Peru,Male,All Ages,Self-harm,Rate,1992,5.01498315828,6.148718382859999,4.01280314958
Deaths,Central Latin America,Male,All Ages,Self-harm,Rate,1992,8.21135416551,11.0303331419,7.265909033
Deaths,New York,Male,All Ages,Self-harm,Rate,1991,17.8101715425,30.815465872300003,14.4132564427
Deaths,Macedonia,Male,All Ages,Self-harm,Rate,1990,12.5751617617,16.001214909199998,10.3499743947
Deaths,Kyōto,Male,All Ages,Self-harm,Rate,1991,25.115888181699997,33.8983598199,22.6580174907
Deaths,Bolivia,Male,All Ages,Self-harm,Rate,1992,7.65685664259,9.75848925928,5.707828796059999
