measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Paraguay,Both,All Ages,Self-harm,Rate,1990,3.0902637303300002,3.56995831626,2.5032768557000002
Deaths,The Bahamas,Both,All Ages,Self-harm,Rate,1990,2.59455060028,3.09945618222,2.05698258614
Deaths,Sub-Saharan Africa,Both,All Ages,Self-harm,Rate,1990,6.79971045981,7.46845845072,6.06370409474
Deaths,Bermuda,Both,All Ages,Self-harm,Rate,1990,7.0090993068,8.207438538769999,5.44809225858
Deaths,Belgium,Both,All Ages,Self-harm,Rate,1990,22.6533948058,27.4110472951,20.9945257479
Deaths,Shizuoka,Both,All Ages,Self-harm,Rate,1991,17.2572953601,22.3563518371,15.8857866118
Deaths,Myanmar,Both,All Ages,Self-harm,Rate,1990,7.360204113539999,9.891880965939999,5.2105768844
Deaths,Connecticut,Both,All Ages,Self-harm,Rate,1990,11.4157783214,15.0684397527,10.1470093086
Deaths,Swaziland,Both,All Ages,Self-harm,Rate,1990,9.46589828656,12.4250143874,7.0991403473600005
Deaths,Wakayama,Both,All Ages,Self-harm,Rate,1990,25.550074950899997,28.8045376973,22.8951290841
Deaths,Bulgaria,Both,All Ages,Self-harm,Rate,1990,18.1749990388,20.839390749699998,16.0440485079
Deaths,Stockholm,Both,All Ages,Self-harm,Rate,1990,19.1945278012,22.4551770655,16.9097235337
Deaths,Singapore,Both,All Ages,Self-harm,Rate,1991,14.9822272512,17.9801095846,12.862634551300001
Deaths,North Africa and Middle East,Both,All Ages,Self-harm,Rate,1990,3.84415090825,4.65364854444,3.21299032609
Deaths,Aichi,Both,All Ages,Self-harm,Rate,1991,17.0847541106,21.8742208088,15.9190244191
Deaths,Chiapas,Both,All Ages,Self-harm,Rate,1990,3.04916195614,4.85646023629,2.55539801232
Deaths,European Union,Both,All Ages,Self-harm,Rate,1990,16.779609937,19.5950881719,15.208148684900001
Deaths,Philippines,Both,All Ages,Self-harm,Rate,1990,11.0706327025,12.7561584171,6.81569864063
Deaths,South Asia,Both,All Ages,Self-harm,Rate,1991,16.7227100442,18.2633882523,13.7506604398
Deaths,England,Both,All Ages,Self-harm,Rate,1990,10.6044781506,11.6146834759,8.92245286369
Deaths,Chile,Both,All Ages,Self-harm,Rate,1991,17.348949589100002,19.6148783408,12.0876992536
Deaths,Mongolia,Both,All Ages,Self-harm,Rate,1991,16.6005554115,19.5697065247,13.1371827238
Deaths,South Korea,Both,All Ages,Self-harm,Rate,1991,13.2344114998,24.748222521299997,10.456700613599999
Deaths,Chihuahua,Both,All Ages,Self-harm,Rate,1990,4.39196304032,6.26919872663,3.5729684321699997
Deaths,East Asia & Pacific - WB,Both,All Ages,Self-harm,Rate,1991,17.1417653469,17.962669306,15.276857461699999
Deaths,Tlaxcala,Both,All Ages,Self-harm,Rate,1991,2.46199149051,3.99051634606,1.99216100979
Deaths,Belize,Both,All Ages,Self-harm,Rate,1990,3.70506903299,4.59320449089,2.99291779139
Deaths,Wales,Both,All Ages,Self-harm,Rate,1991,11.165102084499999,12.459277464900001,8.880291845759999
Deaths,Angola,Both,All Ages,Self-harm,Rate,1990,5.83577542487,7.83292275616,3.79997986698
Deaths,Barbados,Both,All Ages,Self-harm,Rate,1990,4.46863312062,5.15703354383,3.7571282351999997
Deaths,Denmark,Both,All Ages,Self-harm,Rate,1990,29.5252953306,32.3478568154,24.3731232212
Deaths,Delaware,Both,All Ages,Self-harm,Rate,1990,13.255867058,16.4000891964,11.852850804200001
Deaths,Oregon,Both,All Ages,Self-harm,Rate,1990,16.852323745,18.4129273038,12.7121315061
Deaths,Miyazaki,Both,All Ages,Self-harm,Rate,1992,24.939498521100003,27.0172194918,21.3669384425
Deaths,Norway,Both,All Ages,Self-harm,Rate,1992,15.9786430059,17.9252263449,13.9737144048
Deaths,North America,Both,All Ages,Self-harm,Rate,1991,13.758430186100002,16.291486951499998,12.0918147513
Deaths,Algeria,Both,All Ages,Self-harm,Rate,1990,3.12072440147,4.38632791787,2.46866475838
Deaths,Distrito Federal,Both,All Ages,Self-harm,Rate,1990,3.9270418587300004,5.2573704254799996,3.27087032877
Deaths,Moldova,Both,All Ages,Self-harm,Rate,1992,19.177001014,21.6999311463,15.575931241300001
Deaths,Querétaro,Both,All Ages,Self-harm,Rate,1992,3.05735208024,3.9470771682100003,2.58908160263
Deaths,Czech Republic,Both,All Ages,Self-harm,Rate,1990,21.411835091100002,24.415498515600003,17.966021107
Deaths,Uganda,Both,All Ages,Self-harm,Rate,1991,10.5182042361,12.9166794228,7.745337828039999
Deaths,Shimane,Both,All Ages,Self-harm,Rate,1990,27.624927018899996,29.994053015400002,23.3542165582
Deaths,Tajikistan,Both,All Ages,Self-harm,Rate,1991,5.18646586511,6.005664915,4.38125310941
Deaths,Mexico,Both,All Ages,Self-harm,Rate,1991,3.56486339441,4.79621059776,3.20761610882
Deaths,Florida,Both,All Ages,Self-harm,Rate,1990,16.5714514235,18.6236362357,13.490764638800002
Deaths,Greenland,Both,All Ages,Self-harm,Rate,1990,147.308384904,168.694910298,121.172814425
Deaths,Alabama,Both,All Ages,Self-harm,Rate,1991,14.6968914749,18.8486310533,12.9116281793
Deaths,Finland,Both,All Ages,Self-harm,Rate,1990,31.167713623500003,34.0309909017,25.069408797300003
Deaths,North Africa and Middle East,Both,All Ages,Self-harm,Rate,1990,3.84135776307,4.650277067089999,3.2106812387
Deaths,Zimbabwe,Both,All Ages,Self-harm,Rate,1990,7.065857200139999,11.2588805625,3.7008101815
Deaths,Latin America & Caribbean - WB,Both,All Ages,Self-harm,Rate,1991,6.48479432966,7.56884705927,5.62463334235
Deaths,Central Sub-Saharan Africa,Both,All Ages,Self-harm,Rate,1990,6.0484010449,7.257198305,4.49597515265
Deaths,Sudan,Both,All Ages,Self-harm,Rate,1991,3.8874104376100003,4.97044995248,2.36511508925
Deaths,Bangladesh,Both,All Ages,Self-harm,Rate,1991,11.8160505573,13.468041721099999,10.1681092788
Deaths,Kyōto,Both,All Ages,Self-harm,Rate,1991,19.5188036513,23.7486530451,18.2106730196
Deaths,New Jersey,Both,All Ages,Self-harm,Rate,1991,9.30047902266,14.5263317457,7.954899800870001
Deaths,Puebla,Both,All Ages,Self-harm,Rate,1992,2.70677674429,4.61551619046,2.2187242187500003
Deaths,Taiwan,Both,All Ages,Self-harm,Rate,1991,13.4283282356,14.9859290307,11.8706024908
Deaths,Guam,Both,All Ages,Self-harm,Rate,1990,18.5736708896,21.9428319647,15.5543693973
Deaths,Cambodia,Both,All Ages,Self-harm,Rate,1991,5.4723932952,6.526243341370001,4.416980676250001
Deaths,Honduras,Both,All Ages,Self-harm,Rate,1991,2.9488153751999997,3.9178317505800004,2.18138119283
Deaths,Europe & Central Asia - WB,Both,All Ages,Self-harm,Rate,1991,18.995616321099998,22.5269925761,17.3414721127
Deaths,Pennsylvania,Both,All Ages,Self-harm,Rate,1990,13.9950194616,16.3391734416,12.155078106
Deaths,Region of the Americas,Both,All Ages,Self-harm,Rate,1990,9.26451624601,10.9342000612,8.12291178034
Deaths,Guatemala,Both,All Ages,Self-harm,Rate,1991,6.881219990049999,8.41415523345,4.93276393054
Deaths,Croatia,Both,All Ages,Self-harm,Rate,1990,26.179051207399997,29.7393138595,21.693295159399998
Deaths,Benin,Both,All Ages,Self-harm,Rate,1990,6.06496909896,7.71925934246,4.53865230482
Deaths,High-income North America,Both,All Ages,Self-harm,Rate,1991,13.776033359200001,16.3096978901,12.1108563717
Deaths,Commonwealth,Both,All Ages,Self-harm,Rate,1990,14.7230411349,15.9495991306,12.3737944603
Deaths,Ecuador,Both,All Ages,Self-harm,Rate,1992,5.7044904765,6.99095193692,5.03744717597
Deaths,Tottori,Both,All Ages,Self-harm,Rate,1990,22.5010759637,26.539532879,20.5028492074
Deaths,South West England,Both,All Ages,Self-harm,Rate,1991,11.0645273052,11.6701966203,9.100396257929999
Deaths,Thailand,Both,All Ages,Self-harm,Rate,1990,12.9866272622,15.1440493474,11.0383495096
Deaths,Cyprus,Both,All Ages,Self-harm,Rate,1990,5.94497446495,7.2528349388999995,5.145230965490001
