measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Bulgaria,Female,All Ages,Self-harm,Rate,1990,10.4679041931,11.2871204528,9.7246812283
Deaths,Bermuda,Female,All Ages,Self-harm,Rate,1990,3.34814055996,3.8411006225800004,2.8838931841899997
Deaths,Belgium,Female,All Ages,Self-harm,Rate,1990,13.3724327086,14.339844213900001,12.4145613304
Deaths,Myanmar,Female,All Ages,Self-harm,Rate,1990,9.393961302100001,14.6572734316,5.56689725005
Deaths,Philippines,Female,All Ages,Self-harm,Rate,1990,4.17084141344,4.61148606464,3.77357140838
Deaths,Wakayama,Female,All Ages,Self-harm,Rate,1990,18.4755880584,20.1558792044,16.8711019425
Deaths,African Region,Female,All Ages,Self-harm,Rate,1990,4.799796832759999,5.44778717946,4.21189707051
Deaths,South Asia,Female,All Ages,Self-harm,Rate,1991,17.0732655288,19.8034717926,14.4330493742
Deaths,Delaware,Female,All Ages,Self-harm,Rate,1990,5.7779605789,6.34756195248,5.25795712711
Deaths,Croatia,Female,All Ages,Self-harm,Rate,1990,14.7732438154,16.7497403675,13.112946668700001
Deaths,Tlaxcala,Female,All Ages,Self-harm,Rate,1991,1.09492364993,1.26492073465,0.94422053784
Deaths,Chile,Female,All Ages,Self-harm,Rate,1991,5.00113357768,5.54060516808,4.47663372629
Deaths,Puebla,Female,All Ages,Self-harm,Rate,1992,1.02502777583,1.1619017093,0.8911881773779999
Deaths,Paraguay,Female,All Ages,Self-harm,Rate,1990,2.01591494557,2.3580722821399998,1.7134483957800002
Deaths,Chiapas,Female,All Ages,Self-harm,Rate,1990,1.15404497282,1.34713077811,0.983835361765
Deaths,Zambia,Female,All Ages,Self-harm,Rate,1991,5.31180295501,6.95273807258,3.86143304356
Deaths,Uganda,Female,All Ages,Self-harm,Rate,1991,12.641926839999998,16.2405782641,8.7298004686
Deaths,Bolivia,Female,All Ages,Self-harm,Rate,1992,5.50905481953,7.3240389293599995,3.71044780159
Deaths,South West England,Female,All Ages,Self-harm,Rate,1991,6.35554615945,6.622328067180001,6.110626741390001
Deaths,Chihuahua,Female,All Ages,Self-harm,Rate,1990,1.31117059191,1.54136561816,1.12903976819
Deaths,Angola,Female,All Ages,Self-harm,Rate,1990,3.4489696769,4.61287738581,2.44068129813
Deaths,Zimbabwe,Female,All Ages,Self-harm,Rate,1990,4.17953122507,5.6435272648,2.77697501019
Deaths,Cyprus,Female,All Ages,Self-harm,Rate,1990,3.29680469641,3.9558088118700003,2.75164304827
Deaths,North Africa and Middle East,Female,All Ages,Self-harm,Rate,1990,2.49188107527,3.10841471556,1.9480958292700001
Deaths,South Korea,Female,All Ages,Self-harm,Rate,1991,7.37150150924,8.621445915079999,6.233298849530001
Deaths,North Africa and Middle East,Female,All Ages,Self-harm,Rate,1990,2.4935087873499997,3.11047032785,1.9493384629500001
Deaths,Okinawa,Female,All Ages,Self-harm,Rate,1992,9.4368585028,10.1163412908,8.79941323643
Deaths,Shizuoka,Female,All Ages,Self-harm,Rate,1991,11.398951956,12.126962063499999,10.6756686997
Deaths,The Bahamas,Female,All Ages,Self-harm,Rate,1990,0.99206674124,1.11717141686,0.875615369622
Deaths,Alabama,Female,All Ages,Self-harm,Rate,1991,5.3945141758999995,5.93516246796,4.9406689401
Deaths,Tajikistan,Female,All Ages,Self-harm,Rate,1991,3.20559052527,3.8374472426899997,2.60827245013
Deaths,Czech Republic,Female,All Ages,Self-harm,Rate,1990,11.900409701,12.6782376405,11.161381521800001
Deaths,South Carolina,Female,All Ages,Self-harm,Rate,1990,5.24544907443,5.81608955217,4.76205964584
Deaths,Uruguay,Female,All Ages,Self-harm,Rate,1991,5.5177497319499995,5.97774109643,5.1042396559
Deaths,Central Sub-Saharan Africa,Female,All Ages,Self-harm,Rate,1990,3.5199197875899997,4.124174888060001,2.93274531554
Deaths,Wales,Female,All Ages,Self-harm,Rate,1991,5.5115247831500005,6.13177725829,4.898990897
